x,year,month,tw_use_m01,tw_use_m02,tw_use_m03,tw_use_m04,tw_use_m05,tw_use_m06,tw_use_m07,tw_use_m08,tw_use_m09,tw_use_m10,tw_use_m11,tw_use_m12,,label
까불인데요?,2022,6,89,6,6,0,4,78,5,0,6,0,10,8,,0
누가 00야?,2022,1,1639,1980,1644,737,278,112,118,174,19,5,0,0,,0
맑은 눈의 광인,2022,5,3246,5430,3589,1367,838,370,69,127,66,35,43,38,,0
카메라 꺼!,2022,1,1317,701,356,145,139,51,40,115,95,138,68,52,,0
그냥 개최국 중국이 메달 모두 가져가라고 하자,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
눈 뜨고 코 베이징,2022,1,24,31,41,20,28,36,36,52,52,42,41,32,,0
베이징 탈모,2022,6,32,31,170,29,22,24,20,117,34,111,44,52,,0
블루투스 터치,2022,4,92,152,88,162,121,107,62,93,53,66,80,121,,0
식사는 잡쉈어?,2022,8,82,46,79,74,14,29,15,11,0,0,10,3,,0
할렐루야!,2022,4,10,7,8,11,5,0,5,5,0,0,5,124,,0
"마귀가 들렸네, 마귀가 들렸어!",2022,2,33,59,60,39,22,45,37,40,24,42,25,28,,0
너 사탄 들렸어?,2022,10,55,100,81,12,12,12,6,0,8,0,0,3,,0
와쿠와쿠,2022,10,35,95,47,21,31,10,4,16,6,7,7,11,,0
지금이야말로 필살의...!,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Hello My name is 예삐예삐요,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Oh I'm Sorry 그딴건 없어요,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Why are you cranky boy 뭘 그리 찡그려 너,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
고래가 알을 낳는 문제,2022,7,54,47,30,35,32,26,28,24,42,115,23,35,,0
그렇다는 증거 있습니까?,2022,8,16,26,62,32,16,22,9,0,11,7,0,13,,0
불안이면 항소하세요,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
비!상!! 비상!! 비상!!,2022,12,137,130,83,38,16,15,5,4,7,0,11,0,,0
